scheme,outer_fold,component,feature,loading,component_regression_coef
five_fold,0,1,OES_bin_120,-0.011641707323421251,0.024160632855260808
five_fold,0,1,OES_bin_121,-0.01255407942847428,0.024160632855260808
five_fold,0,1,OES_bin_122,-0.010375778937574876,0.024160632855260808
five_fold,0,1,OES_bin_123,-0.011371235527953195,0.024160632855260808
five_fold,0,1,OES_bin_124,-0.011067429897178774,0.024160632855260808
five_fold,0,1,OES_bin_125,-0.011128938454604014,0.024160632855260808
five_fold,0,1,OES_bin_126,-0.011909228115619569,0.024160632855260808
five_fold,0,1,OES_bin_127,-0.011322547905294652,0.024160632855260808
five_fold,0,1,OES_bin_128,-0.011799838962290312,0.024160632855260808
five_fold,0,1,OES_bin_129,-0.011611460430026569,0.024160632855260808
five_fold,0,1,OES_bin_130,-0.01266522627613,0.024160632855260808
five_fold,0,1,OES_bin_131,-0.009242870006204561,0.024160632855260808
five_fold,0,1,OES_bin_132,-0.010821710369671087,0.024160632855260808
five_fold,0,1,OES_bin_133,-0.010363326455512847,0.024160632855260808
five_fold,0,1,OES_bin_134,-0.011201160209010665,0.024160632855260808
five_fold,0,1,OES_bin_135,-0.010449708973795388,0.024160632855260808
five_fold,0,1,OES_bin_136,-0.012084746971645402,0.024160632855260808
five_fold,0,1,OES_bin_137,-0.01054379880934381,0.024160632855260808
five_fold,0,1,OES_bin_138,-0.010654555744041994,0.024160632855260808
five_fold,0,1,OES_bin_139,-0.012003576906253968,0.024160632855260808
five_fold,0,1,OES_bin_140,-0.01095587439462571,0.024160632855260808
five_fold,0,1,OES_bin_141,-0.010259458724694397,0.024160632855260808
five_fold,0,1,OES_bin_142,-0.011878405285416149,0.024160632855260808
five_fold,0,1,OES_bin_143,-0.010526229560712447,0.024160632855260808
five_fold,0,1,OES_bin_144,-0.012840420856543563,0.024160632855260808
five_fold,0,1,OES_bin_145,-0.011898136963387573,0.024160632855260808
five_fold,0,1,OES_bin_146,-0.011869329216141294,0.024160632855260808
five_fold,0,1,OES_bin_147,-0.011611485911744965,0.024160632855260808
five_fold,0,1,OES_bin_148,-0.010581364561090009,0.024160632855260808
five_fold,0,1,OES_bin_149,-0.012004920812422978,0.024160632855260808
five_fold,0,1,OES_bin_150,-0.010837145028719566,0.024160632855260808
five_fold,0,1,OES_bin_151,-0.01198278362345716,0.024160632855260808
five_fold,0,1,OES_bin_152,-0.012838168436554531,0.024160632855260808
five_fold,0,1,OES_bin_153,-0.010242097328318642,0.024160632855260808
five_fold,0,1,OES_bin_154,-0.011540602456383556,0.024160632855260808
five_fold,0,1,OES_bin_155,-0.011723639993658028,0.024160632855260808
five_fold,0,1,OES_bin_156,-0.010293419249395804,0.024160632855260808
five_fold,0,1,OES_bin_157,-0.0116589655967372,0.024160632855260808
five_fold,0,1,OES_bin_158,-0.011546904441669717,0.024160632855260808
five_fold,0,1,OES_bin_159,-0.011154895495051487,0.024160632855260808
five_fold,0,1,OES_bin_160,-0.010157067669521763,0.024160632855260808
five_fold,0,1,OES_bin_161,-0.011793680534890584,0.024160632855260808
five_fold,0,1,OES_bin_162,-0.011475504866322307,0.024160632855260808
five_fold,0,1,OES_bin_163,-0.011976692809827908,0.024160632855260808
five_fold,0,1,OES_bin_164,-0.011218675858963042,0.024160632855260808
five_fold,0,1,OES_bin_165,-0.010793616105036647,0.024160632855260808
five_fold,0,1,OES_bin_166,-0.012309745842795655,0.024160632855260808
five_fold,0,1,OES_bin_167,-0.00956572790364177,0.024160632855260808
five_fold,0,1,OES_bin_168,-0.010608643441924753,0.024160632855260808
five_fold,0,1,OES_bin_169,-0.011394398014659447,0.024160632855260808
five_fold,0,1,OES_bin_170,-0.01153692652111342,0.024160632855260808
five_fold,0,1,OES_bin_171,-0.011625508685265153,0.024160632855260808
five_fold,0,1,OES_bin_172,-0.011583024215638848,0.024160632855260808
five_fold,0,1,OES_bin_173,-0.011044968006728594,0.024160632855260808
five_fold,0,1,OES_bin_174,-0.010748199330205594,0.024160632855260808
five_fold,0,1,OES_bin_175,-0.010952122656743678,0.024160632855260808
five_fold,0,1,OES_bin_176,-0.011260287788452415,0.024160632855260808
five_fold,0,1,OES_bin_177,-0.010888795542847567,0.024160632855260808
five_fold,0,1,OES_bin_178,-0.010337814961591477,0.024160632855260808
five_fold,0,1,OES_bin_179,-0.010510757275900734,0.024160632855260808
five_fold,0,1,OES_bin_180,-0.010623170840113588,0.024160632855260808
five_fold,0,1,OES_bin_181,-0.012373487016623625,0.024160632855260808
five_fold,0,1,OES_bin_182,-0.01127580394647356,0.024160632855260808
five_fold,0,1,OES_bin_183,-0.011003270795074538,0.024160632855260808
five_fold,0,1,OES_bin_184,-0.010348505999473508,0.024160632855260808
five_fold,0,1,OES_bin_185,-0.010514748115537492,0.024160632855260808
five_fold,0,1,OES_bin_186,-0.011400444596523066,0.024160632855260808
five_fold,0,1,OES_bin_187,-0.011714803752152093,0.024160632855260808
five_fold,0,1,OES_bin_188,-0.010877907802006908,0.024160632855260808
five_fold,0,1,OES_bin_189,-0.011878975639467612,0.024160632855260808
five_fold,0,1,OES_bin_190,-0.011033832896562568,0.024160632855260808
five_fold,0,1,OES_bin_191,-0.010415046069500075,0.024160632855260808
five_fold,0,1,OES_bin_192,-0.010590967011586261,0.024160632855260808
five_fold,0,1,OES_bin_193,-0.011645228210530916,0.024160632855260808
five_fold,0,1,OES_bin_194,-0.011653269606472439,0.024160632855260808
five_fold,0,1,OES_bin_195,-0.010651689818726948,0.024160632855260808
five_fold,0,1,OES_bin_196,-0.010363763999269927,0.024160632855260808
five_fold,0,1,OES_bin_197,-0.011285907943414723,0.024160632855260808
five_fold,0,1,OES_bin_198,-0.010575601576317848,0.024160632855260808
five_fold,0,1,OES_bin_199,-0.011578602750128748,0.024160632855260808
five_fold,0,1,OES_bin_200,-0.010820748947311585,0.024160632855260808
five_fold,0,1,OES_bin_201,-0.01088743523796664,0.024160632855260808
five_fold,0,1,OES_bin_202,-0.01103817120956784,0.024160632855260808
five_fold,0,1,OES_bin_203,-0.011328747652212826,0.024160632855260808
five_fold,0,1,OES_bin_204,-0.011384489379894233,0.024160632855260808
five_fold,0,1,OES_bin_205,-0.011399425986724535,0.024160632855260808
five_fold,0,1,OES_bin_206,-0.011000147456273009,0.024160632855260808
five_fold,0,1,OES_bin_207,-0.011382377486549378,0.024160632855260808
five_fold,0,1,OES_bin_208,-0.0121215730835995,0.024160632855260808
five_fold,0,1,OES_bin_209,-0.010975691078229984,0.024160632855260808
five_fold,0,1,OES_bin_210,-0.010374811704072284,0.024160632855260808
five_fold,0,1,OES_bin_211,-0.010829924702562043,0.024160632855260808
